customer_id,age,tenure,monthly_charges,contract_type,internet_service,churn
1,56,35,118.12,Month-to-month,DSL,1
2,69,51,83.18,Month-to-month,Fiber optic,0
3,46,15,45.98,Two year,Fiber optic,0
4,32,25,83.4,Month-to-month,DSL,0
5,60,55,74.0,One year,DSL,0
6,25,37,97.98,Month-to-month,DSL,0
7,38,28,30.7,One year,DSL,1
8,56,10,96.1,One year,Fiber optic,1
9,36,39,74.13,Month-to-month,DSL,0
10,40,57,116.3,Month-to-month,Fiber optic,0
11,28,17,54.19,Month-to-month,None,0
12,28,39,83.26,Month-to-month,None,1
13,41,22,113.2,Month-to-month,DSL,0
14,53,26,30.25,One year,None,0
15,57,44,113.72,Two year,None,0
16,41,25,88.79,Two year,None,0
17,20,17,26.78,One year,DSL,0
18,39,13,50.1,One year,DSL,1
19,19,20,90.82,One year,None,0
20,41,25,26.74,Month-to-month,Fiber optic,0
21,61,4,78.22,Two year,None,0
22,47,10,54.59,One year,DSL,1
23,55,3,82.09,Month-to-month,DSL,1
24,19,41,24.57,Month-to-month,DSL,0
25,38,45,107.15,Month-to-month,None,1
26,50,18,117.35,Month-to-month,Fiber optic,0
27,29,47,116.89,Two year,DSL,0
28,39,36,94.97,Month-to-month,DSL,0
29,61,47,33.01,Month-to-month,None,0
30,42,22,95.83,Two year,Fiber optic,0
31,66,34,22.46,Month-to-month,None,0
32,44,47,22.21,Month-to-month,DSL,0
33,59,8,52.36,Month-to-month,Fiber optic,1
34,45,40,68.86,One year,Fiber optic,0
35,33,49,97.04,Two year,DSL,0
36,32,44,88.33,Month-to-month,Fiber optic,0
37,64,19,64.59,Two year,Fiber optic,0
38,68,42,47.36,Month-to-month,None,0
39,61,41,119.71,Two year,DSL,0
40,69,37,62.62,One year,DSL,1
41,20,6,65.14,One year,DSL,0
42,54,52,36.36,Month-to-month,DSL,0
43,68,26,99.48,Two year,DSL,1
44,24,34,89.37,One year,Fiber optic,0
45,38,59,42.08,Month-to-month,None,0
46,26,56,28.24,One year,DSL,0
47,56,59,88.05,Month-to-month,None,0
48,35,45,85.45,Two year,None,0
49,21,6,47.33,Month-to-month,Fiber optic,0
50,42,37,115.09,One year,DSL,0
51,31,57,35.11,Month-to-month,Fiber optic,0
52,67,33,63.23,Month-to-month,DSL,1
53,26,53,114.36,Month-to-month,Fiber optic,0
54,43,22,61.97,Month-to-month,None,0
55,19,21,83.85,Month-to-month,DSL,1
56,37,6,59.76,Month-to-month,None,0
57,45,6,47.42,Month-to-month,None,0
58,64,55,118.4,Month-to-month,Fiber optic,1
59,24,48,60.93,Month-to-month,DSL,0
